Symbol,Name,InstrumentToken,ISIN
CAPLIPOINT,CAPLIN POINT LAB,999937,INE475E01026
CARBORUNIV,CARBORUNDUM UNIVERSAL,152321,INE120A01034
CARERATING,CARE RATINGS,7452929,INE752H01013
CARRARO,CARRARO INDIA,7393025,INE0V7W01012
CARTRADE,CARTRADE TECH,1384193,INE290S01011
CARYSIL,CARYSIL,481025,INE482D01024
CASHIEINAV,ICICIPRAMC - CASHIEINAV,7717377,
CASHIETF,ICICI PRUDENTIAL BSE LIQUID RATE ETF - GROWTH,7715585,INF109K1A021
CASTROLIND,CASTROL INDIA,320001,INE172A01027
CCAVENUE,AVENUESAI,4159745,INE483S01020
CCCL,CONS. CONST. CONSORT,3837953,INE429I01024
CCHHL,COUNTRY CLUB HOSP HOL,1634561,INE652F01027
CCL,CCL PRODUCTS (I),2931713,INE421D01022
CDSL,CENTRAL DEPO SER (I),5420545,INE736A01011
CEATLTD,CEAT,3905025,INE482A01020
CEIGALL,CEIGALL INDIA,6333953,INE0AG901020
CEINSYS,CEINSYS TECH,194825473,INE016Q01014
CELEBRITY,CELEBRITY FASHIONS,3369473,INE185H01016
CELLO,CELLO WORLD,5067521,INE0LMW01024
CEMPRO,CEMINDIA PROJECTS,1439233,INE686A01026
CENTENKA,CENTURY ENKA,158465,INE485A01015
CENTEXT,CENTURY EXTRUSIONS,2946817,INE281A01026
CENTRALBK,CENTRAL BANK OF INDIA,3812865,INE483A01010
CENTRUM,CENTRUM CAPITAL,628225,INE660C01027
CENTUM,CENTUM ELECTRONICS,3835393,INE320B01020
CENTURYPLY,CENTURY PLYBOARDS (I),3406081,INE348B01021
CERA,CERA SANITARYWARE,3849985,INE739E01017
CESC,CESC,160769,INE486A01021
CEWATER,CONCORD ENVIRO SYSTEMS L,7363585,INE037Z01029
CGCL,CAPRI GLOBAL CAPITAL,5204225,INE180C01042
CGPOWER,CG POWER AND IND SOL,194561,INE067A01029
CHALET,CHALET HOTELS,2187777,INE427F01016
CHAMBLFERT,CHAMBAL FERTILIZERS,163073,INE085A01013
CHEMCON,CHEMCON SPECIAL CHEM,69121,INE03YM01018
CHEMICAL,KOTAK NIFTY CHEMICALS ETF,194530561,INF174KA1XV0
CHEMINAV,KOTAKMAMC - CHEMINAV,7827201,
CHEMPLASTS,CHEMPLAST SANMAR,1394945,INE488A01050
CHENNPETRO,CHENNAI PETROLEUM CORP LT,524545,INE178A01016
CHEVIOT,CHEVIOT COMPANY,2529025,INE974B01016
CHGOLDINAV,CHOICEAMC - CHGOLDINAV,7826177,
CHOICEGOLD,CHOICE GOLD ETF,194460161,INF2KCX01012
CHOICEIN,CHOICE INTERNATIONAL,2269697,INE102B01014
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,175361,INE121A01024
CHOLAHLDNG,CHOLAMANDALAM FIN HOL,5565441,INE149A01033
CIEINDIA,CIE AUTOMOTIVE INDIA,3823873,INE536H01010
CIFL,CAPITAL INDIA FINANCE,193539841,INE345H01024
CINELINE,CINELINE INDIA,6953217,INE704H01022
CINEVISTA,CINEVISTA,2054145,INE039B01026
CIPLA,CIPLA,177665,INE059A01026
CLEAN,CLEAN SCIENCE & TECH,1292545,INE227W01023
CLEANMAX,CLEAN MAX ENVIRO EN SOL L,194606849,INE647U01026
CLSEL,CHAMAN LAL SETIA EXP,891393,INE419D01026
CMPDI,CENTRAL MINE P N D INST L,194964737,INE05HV01027
CMRGREEN,CMR GREEN TECHNOLOGIES L,7908609,INE00WV01027
CMSINFO,CMS INFO SYSTEMS,1946369,INE925R01014
CNL,CREATIVE NEWTECH,2855681,INE985W01018
COALINDIA,COAL INDIA,5215745,INE522F01014
COASTCORP,COASTAL CORPORATION,1537537,INE377E01024
COCHINSHIP,COCHIN SHIPYARD,5506049,INE704P01025
COCKERILL,JOHN COCKERILL INDIA,195231489,INE515A01019
COFORGE,COFORGE,2955009,INE591G01025
COHANCE,COHANCE LIFESCIENCES,4593921,INE03QK01018
COLPAL,COLGATE PALMOLIVE,3876097,INE259A01022
COMFINTE,COMFORT INTECH,195232769,INE819A01049
COMMOIETF,ICICI PRUDENTIAL NIFTY COMMODITIES ETF,3378689,INF109KC19O8
COMPUSOFT,COMPUCOM SOFTWARE,7971329,INE453B01029
COMSYN,COMMERCIAL SYN BAGS,5523969,INE073V01015
CONCOR,CONTAINER CORP OF IND,1215745,INE111A01025
CONCORDBIO,CONCORD BIOTECH,4623361,INE338H01029
CONFIPET,CONFIDENCE PETRO IND,2620929,INE552D01024
CONS,KOTAK NIFTY INDIA CONSUMPTION ETF,2691073,INF174KA1ZF8
CONSOFINVT,CONSO. FIN. & HOLD.,3003137,INE025A01027
CONSUMBEES,NIPPON INDIA ETF CONSUMPTION,623361,INF204KA1LD7
CONSUMER,MIRAE ASSET NIFTY INDIA NEW AGE CONSUMPTION ETF,7416065,INF769K01NS5
CONSUMIETF,ICICI PRUDENTIAL NIFTY INDIA CONSUMPTION ETF,1650177,INF109KC1V42
CONSUMINAV,MIRAEAMC - CONSUMINAV,7416833,
CONTROLPR,CONTROL PRINT,4474113,INE663B01015
CORALFINAC,CORAL INDIA FIN & HOUS LT,1025793,INE558D01021
COROMANDEL,COROMANDEL INTERNTL.,189185,INE169A01031
CORONA,CORONA REMEDIES,194625025,INE02ZQ01018
COSMOFIRST,COSMO FIRST,189953,INE757A01017
COUNCODOS,COUNTRY CONDO S,4348417,INE695B01025
CPEDU,CAREER POINT EDUTECH,194288897,INE0P6P01016
CPPLUS,ADITYA INFOTECH,194267649,INE819V01029
CPSEETF,CPSE ETF,595969,INF457M01133
CRAFTSMAN,CRAFTSMAN AUTOMATION,730625,INE00LO01017
CRAMC,CANARA ROBECO AMC,194383617,INE218I01013
CREATIVEYE,CREATIVE EYE,2402305,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN,1131777,INE741K01010
CREST,CREST VENTURES,3558401,INE559D01011
CRISIL,CRISIL,193793,INE007A01025
CRIZAC,CRIZAC,194009601,INE0S4R01014
CROMPTON,CROMPT GREA CON ELEC,4376065,INE299U01018
CROWN,CROWN LIFTERS,2069249,INE491V01019
CSBBANK,CSB BANK,3831297,INE679A01013
CSLFINANCE,CSL FINANCE,2649601,INE718F01018
CTE,CAMBRIDGE TECH ENTER,3639809,INE627H01017
CUB,CITY UNION BANK,1459457,INE491A01021
CUBEXTUB,CUBEX TUBINGS,1040385,INE144D01012
CUMMINSIND,CUMMINS INDIA,486657,INE298A01020
CUPID,CUPID,4741121,INE509F01029
CURAA,CURA TECHNOLOGIES,7728385,INE117B01020
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,1549057,INE214A01019
CYIENT,CYIENT,1471489,INE136B01020
CYIENTDLM,CYIENT DLM,4399873,INE055S01018
DABUR,DABUR INDIA,197633,INE016A01026
DAICHI,DAI-ICHI KARKARIA,195234049,INE928C01010
DALBHARAT,DALMIA BHARAT,2067201,INE00R701025
DALMIASUG,DALMIA BHARAT SUG IN,199937,INE495A01022
DAMCAPITAL,DAM CAPITAL ADVISORS,7337473,INE284H01025
DAMODARIND,DAMODAR INDUSTRIES,4490497,INE497D01022
DANGEE,DANGEE DUMS,284161,INE688Y01022
DATAMATICS,DATAMATICS GLOBAL SER,2924289,INE365B01017
DATAPATTNS,DATA PATTERNS INDIA,1883649,INE0IX101010
DAVANGERE,DAVANGERE SUGAR COMPANY L,5579265,INE179G01029
DBCORP,D.B.CORP,4577537,INE950I01011
DBL,DILIP BUILDCON,4630017,INE917M01012
DBSTOCKBRO,DB (INT) STOCK BROKERS,7963393,INE921B01025
DCAL,DISHMAN CARBO AMCIS,5556225,INE385W01011
DCBBANK,DCB BANK,3513601,INE503A01015
DCMSHRIRAM,DCM SHRIRAM,207617,INE499A01024
DCMSRIND,DCM SHRIRAM IND,1875201,INE843D01027
DCW,DCW,209153,INE500A01029
DCXINDIA,DCX SYSTEMS,3045121,INE0KL801015
DDEVPLSTIK,DDEV PLASTIKS IND,7449089,INE0HR601026
DECCANCE,DECCAN CEMENTS,3798529,INE583C01021
DECNGOLD,DECCAN GOLD MINES,195235329,INE945F01025
DEEPAKFERT,DEEPAK FERTILIZERS & PETR,211713,INE501A01019
DEEPAKNTR,DEEPAK NITRITE,5105409,INE288B01029
DEEPINDS,DEEP INDUSTRIES,842753,INE0FHS01024
DEFENCE,MIRAEAMC - DEFENCE,194827777,INF769K01QC2
DEFENCINAV,MIRAEAMC - DEFENCINAV,7834625,
DELHIVERY,DELHIVERY,2457345,INE148O01028
DELPHIFX,DELPHI WORLD MONEY,6244097,INE726L01027
DELTACORP,DELTA CORP,3851265,INE124G01033
DELTAMAGNT,DELTA MANUFACTURING,310785,INE393A01011
DEN,DEN NETWORKS,4536833,INE947J01015
DENORA,DE NORA INDIA,1095425,INE244A01016
DENTA,DENTA WATER N INFRA SOL L,7489537,INE0R4L01018
DEVIT,DEV INFO TECHNOLOGY,2085377,INE060X01034
DEVX,DEV ACCELERATOR,194324225,INE0VOV01021
DEVYANI,DEVYANI INTERNATIONAL,1375489,INE872J01023
DGCONTENT,DIGICONTENT,2648577,INE03JI01017
DHAMPURSUG,DHAMPUR SUGAR MILLS,219393,INE041A01016
DHANBANK,DHANLAXMI BANK,2907905,INE680A01011
DHANUKA,DHANUKA AGRITECH,6248705,INE435G01025
DHARMAJ,DHARMAJ CROP GUARD,3328257,INE00OQ01016
DHUNINV,DHUNSERI INVESTMENTS,5691649,INE320L01011
DIACABS,DIAMOND POWER INFRA,4747009,INE989C01038
DIAMINESQ,DIAMINES & CHEMICALS,4772865,INE591D01014
DIAMONDYD,PRATAAP SNACKS,5591041,INE393P01035
DICIND,DIC INDIA,179969,INE303A01010
DIFFNKG,DIFFUSION ENGINEERS,6572033,INE184O01015
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L,5439233,INE0PSC01024
DIGITIDE,DIGITIDE SOLUTIONS,193923841,INE0U4701011
DIGJAMLMTD,DIGJAM,1568513,INE731U01028
DISAQ,DISA INDIA,195236609,INE131C01011
DIVGIITTS,DIVGI TORQTRANSFER SYST L,3706625,INE753U01022
DIVIDEINAV,MIRAEAMC - DIVIDEINAV,7830785,
DIVIDEND,MIRAE ASSET BSE 500 DIVIDEND LEADERS 50 ETF,194665473,INF769K01PY8
DIVISLAB,DIVI S LABORATORIES,2800641,INE361B01024
DIVOPPBEES,NIPPON INDIA ETF NIFTY DIVIDEND OPPORTUNITIES 50,674817,INF204KA1MS3
DIXON,DIXON TECHNO (INDIA),5552641,INE935N01020
DJML,DJ MEDIAPRINT & LOG,3263745,INE0B1K01014
DLF,DLF,3771393,INE271C01023
DLINKINDIA,D-LINK INDIA,4569857,INE250K01012
DMART,AVENUE SUPERMARTS,5097729,INE192R01011
DMCC,DMCC SPECIALITY CHEMICALS,1785089,INE505A01010
DNAMEDIA,DILIGENT MEDIA CORP,164097,INE016M01021
DODLA,DODLA DAIRY,1234433,INE021O01019
DOLATALGO,DOLAT ALGOTECH,3103745,INE966A01022
DOLLAR,DOLLAR INDUSTRIES,5263361,INE325C01035
DOLPHIN,DOLPHIN OFF ENT (IND) L,4643585,INE920A01037
DOMS,DOMS INDUSTRIES,5261057,INE321T01012
DONEAR,DONEAR IND.,3542785,INE668D01028
DPABHUSHAN,D. P. ABHUSHAN,239617,INE266Y01019
DPWIRES,D P WIRES,4326401,INE864X01013
DRAGARWQ,DR. AGARWAL'S EYE HOSP L,195237889,INE934C01018
DRCSYSTEMS,DRC SYSTEMS INDIA,677121,INE03RS01027
DREAMFOLKS,DREAMFOLKS SERVICES,2779905,INE0JS101016
DREDGECORP,DREDGING CORP OF INDIA,2885377,INE506A01018
DRREDDY,DR. REDDY S LABORATORIES,225537,INE089A01031
DSPBNKINAV,DSPAMC - DSPBNKINAV,3495681,
DSPGOINAV,DSPAMC - DSPGOLDETF,3932929,
DSPN50INAV,DSPN50ETF INAV,2561025,
DSPNEWINAV,DSPNEWETF INAV,2559233,
DSPNITINAV,DSPAMC - DSPNITINAV,4407553,
DSPPSBINAV,DSPAMC - DSPPSBINAV,4510721,
DSPPVBINAV,DSPAMC - DSPPVBINAV,4510465,
DSPQ50INAV,DSPQ50ETF INAV,2561281,
DSPSENINAV,DSPAMC - DSPSENINAV,4510977,
DSPSILINAV,DSPAMC - DSPSILINAV,2755585,
DSSL,DYNACONS SYS & SOLN,6576641,INE417B01040
DTIL,DHUNSERI TEA & IND.,1594113,INE341R01014
DVL,DHUNSERI VENTURES,3894785,INE477B01010
DWARKESH,DWARIKESH SUGAR IND,2986753,INE366A01041
DYCL,DYNAMIC CABLES,2666753,INE600Y01019
DYNAMATECH,DYNAMATIC TECHNOLOGIES,1158401,INE221B01012
DYNPRO,DYNEMIC PRODUCTS,5456385,INE256H01015
E2E,E2E NETWORKS,2287873,INE255Z01027
EASEMYTRIP,EASY TRIP PLANNERS,714753,INE07O001026
EBANKINAV,EBANK INAV,2562049,
EBANKNIFTY,EDELWEISS NIFTY BANK ETF,6466049,INF754K01TE4
EBB433INAV,EDELAMC - EBB433INAV,3371009,
EBBE23INAV,EBBETF0423 INAV,2563073,
EBBE30INAV,EBBETF0430 INAV,2564097,
EBBE31INAV,EBBETF0425 INAV,2564353,
EBBE32INAV,EBBETF0431 INAV,2564865,
EBBETF0430,BHARAT BOND ETF - APRIL 2030,4160769,INF754K01KO2
EBBETF0431,BHARAT BOND ETF - APRIL 2031,5693185,INF754K01LE1
EBBETF0433,BHARAT BOND ETF - APRIL 2033,3363585,INF754K01QX0
EBGNG,GNG ELECTRONICS,194012673,INE18JU01028
EBNKNFINAV,EDELAMC - EBNKNFINAV,6477057,
ECAPININAV,EDELAMC - ECAPININAV,7430145,
ECAPINSURE,EDELWEISS BSE CAPITAL MARKETS & INSURANCE ETF,7428865,INF754K01TX4
ECLERX,ECLERX SERVICES,3885825,INE738I01010
EDELWEISS,EDELWEISS FIN SERV,3870465,INE532F01054
EFCIL,EFC (I),194220801,INE886D01026
EGOLD,EDELWEISS GOLD ETF,5102849,INF754K01SE6
EGOLDINAV,EDELAMC - EGOLDINAV,5105665,
EICHERMOT,EICHER MOTORS,232961,INE066A01021
EIDPARRY,EID PARRY INDIA,234497,INE126A01031
EIEL,ENVIRO INFRA ENGINEERS L,6966529,INE0LLY01014
EIFFL,EURO (I) FRESH FOODS,1546241,INE546V01010
EIHAHOTELS,EIH ASSOCIATED HOTELS - OBEROI HOTELS,3942145,INE276C01014
EIHOTEL,EIH - OBEROI HOTELS,235265,INE230A01023
EIMCOELECO,EIMCO ELECON (INDIA),1034241,INE158B01016
EKC,EVEREST KANTO CYLINDERLTD,3351297,INE184H01027
ELANTAS,ELANTAS BECK INDIA,195239169,INE280B01018
ELCIDIN,ELCID INVESTMENTS,195240449,INE927X01018
ELDEHSG,ELDECO HSG & IND,2291969,INE668G01021
ELECON,ELECON ENG. CO.,3492609,INE205B01031
ELECTCAST,ELECTROSTEEL CASTINGS,237569,INE086A01029
ELECTHERM,ELECTROTHERM (I),1144065,INE822G01016
ELGIEQUIP,ELGI EQUIPMENTS,239873,INE285A01027
ELGIRUBCO,ELGI RUBBER CO.,6380545,INE819L01012
ELIN,ELIN ELECTRONICS,3436289,INE050401020
ELIQUID,EDELWEISS NIFTY 1D RATE LIQUID ETF,194423297,INF754K01VW2
ELIQUIINAV,EDELAMC - ELIQUIINAV,7820033,
ELITECON,ELITECON INTERNATIONAL L,195241729,INE669R01026
ELLEN,ELLENBARRIE INDUS GASES L,194192129,INE236E01022
ELM250,EDELWEISS NIFTY LARGEMIDCAP 250 ETF,194291713,INF754K01VV4
ELM250INAV,EDELAMC - ELM250INAV,7818753,
ELPROINTL,ELPRO INTERNATIONAL,1144577,INE579B01039
EMAMILTD,EMAMI,3460353,INE548C01032
EMAMIPAP,EMAMI PAPER MILLS,2578945,INE830C01026
EMBDL,EMBASSY DEVELOPMENTS,3699201,INE069I01010
EMCURE,EMCURE PHARMACEUTICALS L,6245889,INE168P01015
EMIL,ELECTRONICS MART IND,2951681,INE02YR01019
EMKAY,EMKAY GLOBAL FIN SERV,3435777,INE296H01011
EMLTMQINAV,EDELAMC - EMLTMQINAV,6655745,
EMMBI,EMMBI INDUSTRIES,4644353,INE753K01015
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,194490369,INE1C6T01020
EMSLIMITED,EMS,4759809,INE0OV601013
EMUDHRA,EMUDHRA,2497537,INE01QM01018
EMULTIMQ,EDELWEISS NIFTY500 MULTICAP MOMENTUM QUALITY 50 ETF,6654977,INF754K01TF1
ENDURANCE,ENDURANCE TECHNO.,4818433,INE913H01037
ENERGY,MIRAE ASSET NIFTY ENERGY ETF,194503681,INF769K01PR2
ENERGYDEV,ENERGY DEVE. CO.LTD,3852545,INE306C01019
ENERGYINAV,MIRAEAMC - ENERGYINAV,7826433,
ENEXT50,EDELAMC - ENEXT50,195466241,INF754K01XF3
ENEXTINAV,EDELAMC - ENEXTINAV,195468545,
ENGINERSIN,ENGINEERS INDIA,1256193,INE510A01028
ENIFTY,EDELWEISS NIFTY 50 ETF,194559489,INF754K01VX0
ENIFTYINAV,EDELAMC - ENIFTYINAV,7828225,
ENIL,ENTERTAIN NET. IND.,3377153,INE265F01028
ENRIN,SIEMENS ENERGY INDIA,193758977,INE1NPP01017
ENTERO,ENTERO HEALTHCARE SOLU L,5815553,INE010601016
EPACK,EPACK DURABLE,5750529,INE0G5901015
EPACKPEB,EPACK PREFAB TECHN,194368257,INE0MLS01022
EPIGRAL,EPIGRAL,1377793,INE071N01016
EPL,EPL,251137,INE255A01020
EQU200INAV,MIRAEAMC - EQU200INAV,7711745,
EQUA50INAV,MIRAEAMC - EQUA50INAV,7808769,
EQUAL200,MIRAE ASSET BSE 200 EQUAL WEIGHT ETF,7710977,INF769K01OA1
EQUAL50,MIRAE ASSET NIFTY50 EQUAL WEIGHT ETF,193828353,INF769K01OO2
EQUAL50ADD,DSP NIFTY 50 EQUAL WEIGHT ETF,1691137,INF740KA1QK2
EQUITASBNK,EQUITAS SMALL FIN BNK,233729,INE063P01018
ERIS,ERIS LIFESCIENCES,5415425,INE406M01024
ESABINDIA,ESAB INDIA,244481,INE284A01012
ESAFSFB,ESAF SMALL FINANCE BANK L,5088769,INE818W01011
ESCORTS,ESCORTS KUBOTA,245249,INE042A01014
ESENSEINAV,EDELAMC - ESENSEINAV,7827969,
ESENSEX,EDELWEISS BSE SENSEX ETF,194558721,INF754K01VY8
ESG,MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF,307201,INF769K01GS9
ESILINAV,EDELAMC - ESILVER,5186561,
ESILVER,EDELWEISS SILVER ETF,5185793,INF754K01SF3
ESSARSHPNG,ESSAR SHIPPING,6562305,INE122M01019
ESTER,ESTER INDUSTRIES,6211841,INE778B01029
ETERNAL,ETERNAL - ZOMATO,1304833,INE758T01015
ETHOSLTD,ETHOS,2496001,INE04TZ01018
EUREKAFORB,EUREKA FORBES,6441473,INE0KCE01017
EUROBOND,EURO PANEL PRODUCTS,194035969,INE505V01016
EUROPRATIK,EURO PRATIK SALES,194508033,INE198501012
EVEREADY,EVEREADY INDS. IND. ,3016193,INE128A01029
EVERESTIND,EVEREST INDUSTRIES,254209,INE295A01018
EVIETF,ICICI PRUDENTIAL NIFTY EV & NEW AGE AUTOMOTIVE ETF,193505537,INF109K1A153
EVIETFINAV,ICICIPRAMC - EVIETFINAV,7807745,
EVINDIA,MIRAE ASSET NIFTY EV AND NEW AGE AUTOMOTIVE ETF,6262017,INF769K01LQ3
EVINDINAV,MIRAEAMC - EVINDINAV,6263809,
EXCELINDUS,EXCEL INDUSTRIES,2936577,INE369A01029
EXCELSOFT,EXCELSOFT TECHNOLOGIES L,194561793,INE606N01019
EXICOM,EXICOM TELE SYSTEMS,5874433,INE777F01014
EXIDEIND,EXIDE INDUSTRIES,173057,INE302A01020
EXPLEOSOL,EXPLEO SOLUTIONS,4476417,INE201K01015
EXXARO,EXXARO TILES,1370113,INE0GFE01026
FABTECH,FABTECH TECHNOLOGIES,194592001,INE0HF201011
FACT,FACT,258049,INE188A01015
FAIRCHEMOR,FAIRCHEM ORGANICS,413185,INE0DNW01011
FAZE3Q,FAZE THREE,3072001,INE963C01033
FCL,FINEOTEX CHEMICAL,1586689,INE045J01034
FDC,FDC,1253889,INE258B01022
FEDDERSHOL,FEDDERS HOLDING,195244801,INE417D01020
FEDERALBNK,FEDERAL BANK,261889,INE171A01029
FEDFINA,FEDBANK FINANCIAL SER L,5202433,INE007N01010
FERMENTA,FERMENTA BIOTECH,195246081,INE225B01021
FIBERWEB,FIBERWEB INDIA,2088705,INE296C01020
FIEMIND,FIEM INDUSTRIES,3509761,INE737H01014
FILATEX,FILATEX INDIA,6280193,INE816B01035
FINCABLES,FINOLEX CABLES,265729,INE235A01022
FINEORG,FINE ORGANIC IND.,958465,INE686Y01026
FINIETF,ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF,3219969,INF109KC17L8
FINKURVE,FINKURVE FINANCIAL SERV L,194365185,INE734I01027
FINOPB,FINO PAYMENTS BANK,1684225,INE02NC01014
FINPIPE,FINOLEX INDUSTRIES,266497,INE183A01024
FIRSTCRY,BRAINBEES SOLUTIONS,6352385,INE02RE01045
FISCHER,FISCHER MEDICAL VENTURE L,193960449,INE771F01041
FIVESTAR,FIVE-STAR BUS FIN,3080193,INE128S01021
FLAIR,FLAIR WRITING INDUST,5215233,INE00Y201027
FLEXIADD,DSP NIFTY500 FLEXICAP QUALITY 30 ETF,194398209,INF740KA1WU9
FLEXIAINAV,DSPAMC - FLEXIAINAV,7820289,
FLUOROCHEM,GUJARAT FLUOROCHEM,3520001,INE09N301011
FMCGADD,DSPAMC - FMCGADD,195463681,INF740KA1ZA4
FMCGADINAV,DSPAMC - FMCGADINAV,195464449,
FMCGIETF,ICICI PRUDENTIAL NIFTY FMCG ETF,1358337,INF109KC19V3
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,304641,INE529A01010
FOCUS,FOCUS LIGHTG & FIXTRS,1750017,INE593W01028
FOODSIN,FOODS & INNS,1708289,INE976E01023
FORCEMOT,FORCE MOTORS,2962689,INE451A01017
FORTIS,FORTIS HEALTHCARE,3735553,INE061F01013
FOSECOIND,FOSECO INDIA,274689,INE519A01011
FRACTAL,FRACTAL ANALYTICS,194806017,INE212S01015
FRONTSP,FRONTIER SPRINGS,195247361,INE572D01014
FSL,FIRSTSOURCE SOLU.,3661825,INE684F01012
FUSION,FUSION FINANCE,3054593,INE139R01012
GABRIEL,GABRIEL INDIA,277761,INE524A01029
GAEL,GUJARAT AMBUJA EXPORTS LT,2259969,INE036B01030
GAIL,GAIL (INDIA),1207553,INE129A01019
GALAPREC,GALA PRECISION ENG,6434305,INE0RE001014
GALAXYSURF,GALAXY SURFACTANTS,336641,INE600K01018
GALLANTT,GALLANTT ISPAT,3414273,INE297H01019
GANDHAR,GANDHAR OIL REFINE IND L,5197569,INE717W01049
GANDHITUBE,GANDHI SPL. TUBES,3613697,INE524B01027
GANECOS,GANESHA ECOSPHERE,1777665,INE845D01014
GANESHBE,GANESH BENZOPLAST,1437185,INE388A01029
GANESHCP,GANESH CONSUMER PRODUCT L,194307073,INE652V01016
GANESHHOU,GANESH HOUSING,3670785,INE460C01014
GANGAFORGE,GANGA FORGING,1268993,INE691Z01023
GANGESSECU,GANGES SECURITIES,5478145,INE335W01016
GARFIBRES,GARWARE TECH FIBRES,281601,INE276A01018
GARUDA,GARUDA CONSTRUCT N ENG L,6604801,INE0JVO01026
GATECH,GACM TECHNOLOGIES,4579329,INE224E01028
GATECHDVR,GACM TECHNOLOGIES,4353,INE224E01036
GATEWAY,GATEWAY DISTRIPARKS,2178561,INE079J01017
GAYAHWS,GAYATRI HIGHWAYS,945409,INE287Z01012
GCSL,GRETEX CORPORATE SERVICES,194300417,INE199P01028
GEECEE,GEECEE VENTURES,3496449,INE916G01016
GEEKAYWIRE,GEEKAY WIRES,4588033,INE669X01032
GEMAROMA,GEM AROMATICS,194422017,INE06XZ01023
GENCON,GENERIC ENG CONS PROJ,560129,INE854S01022
GENESYS,GENESYS INTL CORPN,2791681,INE727B01026
GENUSPAPER,GENUS P&B,1689601,INE949P01018
GENUSPOWER,GENUS POWER INFRASTRU,3047681,INE955D01029
GEOJITFSL,GEOJIT FINANCIAL SER L,3045377,INE007B01023
GESHIP,THE GE SHPG.LTD,3526657,INE017A01032
GFLLIMITED,GFL,329985,INE538A01037
GHCL,GHCL,288513,INE539A01019
GHCLTEXTIL,GHCL TEXTILES,4274177,INE0PA801013
GHOSPIINAV,GROWWAMC - GHOSPIINAV,7835649,
GICHSGFIN,GIC HOUSING FINANCE,291585,INE289B01019
GICL,GLOBE INTL CARRIERS,194822401,INE947T01022
GICRE,GENERAL INS CORP OF INDIA,70913,INE481Y01014
GILLANDERS,GILLANDERS ARBUTHNOT,4566785,INE047B01011
GILLETTE,GILLETTE INDIA,403457,INE322A01010
GILT10BETA,UTI NIFTY 10 YR BENCHMARK G-SEC ETF,5766145,INF789F1AZF3
GILT5BETA,UTI NIFTY 5 YR BENCHMARK G-SEC ETF,5765377,INF789F1AZE6
GILT5YBEES,NIPPON INDIA ETF NIFTY 5 YR BENCHMARK G-SEC,812033,INF204KC1030
GILT5YINAV,GILT5YBEES INAV,2597889,
GINNIFILA,GINNI FILAMENTS,292353,INE424C01010
GIPCL,GUJ IND POW CO.,293121,INE162A01010
GKENERGY,GK ENERGY,194316289,INE1AG301022
GKSL,GUJARAT KIDNEY N SUP SP L,194866433,INE0V0W01025
GKWLIMITED,GKW,4443393,INE528A01020
GLAND,GLAND PHARMA,303617,INE068V01023
GLAXO,GLAXOSMITHKLINE PHARMA LT,295169,INE159A01016
GLD360INAV,360ONEAMC - GLD360INAV,7712257,
GLDCASINAV,ZERODHAAMC - GLDCASINAV,5863425,
GLENMARK,GLENMARK PHARMACEUTICALS,1895937,INE935A01035
GLOBAL,GLOBAL EDUCATION,362241,INE291W01037
GLOBALVECT,GLOBAL VEC HELICORP,3516161,INE792H01019
GLOBE,GLOBE ENTERPRISE (I),100609,INE581X01021
GLOBUSSPR,GLOBUS SPIRITS,4460545,INE615I01010
GLOSTERLTD,GLOSTER,6039041,INE350Z01018
GMBREW,G M BREWERIES,299009,INE075D01018
GMDCLTD,GUJARAT MINERAL DEV CORP,1332225,INE131A01031
GMMPFAUDLR,GMM PFAUDLER,401921,INE541A01023
GMRAIRPORT,GMR AIRPORTS,3463169,INE776C01039
GMRP&UI,GMR POW AND URBAN INFRA L,2183425,INE0CU601026
GNA,GNA AXLES,4754177,INE934S01014
GNFC,GUJ NAR VAL FER & CHEM L,300545,INE113A01013
GNRL,GUJARAT NATURAL RES L,195248641,INE207H01018
GOACARBON,GOA CARBON,3759873,INE426D01013
GOCLCORP,GOCL CORPORATION,1014529,INE077F01035
GOCOLORS,GO FASHION INDIA,1782785,INE0BJS01011
GODAVARIB,GODAVARI BIOREFINERIES L,6640897,INE497S01012
GODFRYPHLP,GODFREY PHILLIPS INDIA LT,302337,INE260B01028
GODIGIT,GO DIGIT GENERAL INS,6092545,INE03JT01014
GODREJAGRO,GODREJ AGROVET,36865,INE850D01014
GODREJCP,GODREJ CONSUMER PRODUCTS,2585345,INE102D01028
GODREJIND,GODREJ INDUSTRIES,2796801,INE233A01035
GODREJPROP,GODREJ PROPERTIES,4576001,INE484J01027
GOKEX,GOKALDAS EXPORTS,3015169,INE887G01027
GOKUL,GOKUL REFOILS & SOLV,4276481,INE020J01029
GOKULAGRO,GOKUL AGRO RESOURCES,3706881,INE314T01033
GOLD1,KOTAK GOLD ETF,3803649,INF174KA1HJ8
GOLD360,360 ONE GOLD ETF,7706881,INF579M01BB5
GOLDADD,DSP GOLD ETF,3931137,INF740KA1SW3
